query,model,score
orange denim jacket for kids,Vector Search (LLM),0.7060641467571258
orange denim jacket for kids,Baseline,0.7843369722366333
blue wool jeans for men,Vector Search (LLM),0.8488421618938446
blue wool jeans for men,Baseline,0.8741396546363831
orange casual t-shirt unisex,Vector Search (LLM),0.8609315037727356
orange casual t-shirt unisex,Baseline,0.8690833628177643
black leather t-shirt for women,Vector Search (LLM),0.7425783157348633
black leather t-shirt for women,Baseline,0.7977342486381531
blue casual shoes for men,Vector Search (LLM),0.8112658858299255
blue casual shoes for men,Baseline,0.7577118635177612
pink wool sneakers unisex,Vector Search (LLM),0.8092926859855651
pink wool sneakers unisex,Baseline,0.7759074211120606
blue formal shoes for kids,Vector Search (LLM),0.682720559835434
blue formal shoes for kids,Baseline,0.751168715953827
black cotton sneakers unisex,Vector Search (LLM),0.8757701396942139
black cotton sneakers unisex,Baseline,0.8690679252147675
beige linen jeans for women,Vector Search (LLM),0.8199681103229522
beige linen jeans for women,Baseline,0.8321556091308594
beige denim t-shirt unisex,Vector Search (LLM),0.8348085939884186
beige denim t-shirt unisex,Baseline,0.8501390933990478
white slim fit blazer for kids,Vector Search (LLM),0.8574830532073975
white slim fit blazer for kids,Baseline,0.7932419836521148
yellow linen suit for men,Vector Search (LLM),0.6873906433582306
yellow linen suit for men,Baseline,0.7099624037742615
gray casual t-shirt unisex,Vector Search (LLM),0.9079544901847839
gray casual t-shirt unisex,Baseline,0.8905882120132447
white casual dress for kids,Vector Search (LLM),0.7934448838233947
white casual dress for kids,Baseline,0.8113442599773407
yellow wool sneakers for men,Vector Search (LLM),0.7087967753410339
yellow wool sneakers for men,Baseline,0.762734854221344
black wool suit for kids,Vector Search (LLM),0.8145991861820221
black wool suit for kids,Baseline,0.7716843724250794
white wool blazer for men,Vector Search (LLM),0.8577944934368134
white wool blazer for men,Baseline,0.8350962698459625
brown linen boots for kids,Vector Search (LLM),0.7340227603912354
brown linen boots for kids,Baseline,0.7558105826377869
red slim fit trousers for women,Vector Search (LLM),0.9035321831703186
red slim fit trousers for women,Baseline,0.8444555282592774
orange linen sneakers for men,Vector Search (LLM),0.800470232963562
orange linen sneakers for men,Baseline,0.7853558301925659
yellow cotton scarf for women,Vector Search (LLM),0.8648270010948181
yellow cotton scarf for women,Baseline,0.87276012301445
red formal coat for kids,Vector Search (LLM),0.7552602648735046
red formal coat for kids,Baseline,0.7971670627593994
orange casual hoodie for kids,Vector Search (LLM),0.856533819437027
orange casual hoodie for kids,Baseline,0.8686732172966003
black wool blazer for men,Vector Search (LLM),0.8758275449275971
black wool blazer for men,Baseline,0.8544880390167237
beige oversized dress for men,Vector Search (LLM),0.7942473292350769
beige oversized dress for men,Baseline,0.7415449500083924
blue sportswear sweater for kids,Vector Search (LLM),0.872442901134491
blue sportswear sweater for kids,Baseline,0.8393873274326324
blue formal coat unisex,Vector Search (LLM),0.8029842793941497
blue formal coat unisex,Baseline,0.7812249720096588
red linen jeans for women,Vector Search (LLM),0.7551881313323975
red linen jeans for women,Baseline,0.8231003224849701
pink casual dress unisex,Vector Search (LLM),0.7956389307975769
pink casual dress unisex,Baseline,0.7989820837974548
yellow oversized trousers for women,Vector Search (LLM),0.8181253671646118
yellow oversized trousers for women,Baseline,0.8453992187976838
red casual boots for men,Vector Search (LLM),0.7839571535587311
red casual boots for men,Baseline,0.7600934147834778
black denim jeans for women,Vector Search (LLM),0.8639273583889008
black denim jeans for women,Baseline,0.8911225020885467
orange oversized shoes for men,Vector Search (LLM),0.8140575170516968
orange oversized shoes for men,Baseline,0.7626390993595124
brown oversized shoes unisex,Vector Search (LLM),0.7584095180034638
brown oversized shoes unisex,Baseline,0.7370917081832886
pink linen scarf for men,Vector Search (LLM),0.8639141380786896
pink linen scarf for men,Baseline,0.8354814112186432
orange denim skirt for kids,Vector Search (LLM),0.79459627866745
orange denim skirt for kids,Baseline,0.7693984687328339
orange slim fit t-shirt for kids,Vector Search (LLM),0.8625610589981079
orange slim fit t-shirt for kids,Baseline,0.8656355619430542
brown cotton boots for men,Vector Search (LLM),0.8167598903179168
brown cotton boots for men,Baseline,0.7780169308185577
green casual suit for women,Vector Search (LLM),0.7600601792335511
green casual suit for women,Baseline,0.7349994719028473
pink denim blazer for kids,Vector Search (LLM),0.8222935259342193
pink denim blazer for kids,Baseline,0.8054295063018799
orange casual shoes for women,Vector Search (LLM),0.8172551333904267
orange casual shoes for women,Baseline,0.7744887232780456
red slim fit suit for women,Vector Search (LLM),0.7978335380554199
red slim fit suit for women,Baseline,0.7659121692180634
pink casual sweater for men,Vector Search (LLM),0.8861927330493927
pink casual sweater for men,Baseline,0.8075318992137909
yellow slim fit boots for men,Vector Search (LLM),0.8025607764720917
yellow slim fit boots for men,Baseline,0.785003799200058
white slim fit sweater for kids,Vector Search (LLM),0.9110601663589477
white slim fit sweater for kids,Baseline,0.8543012320995331
blue leather hoodie for men,Vector Search (LLM),0.7439354956150055
blue leather hoodie for men,Baseline,0.7607325553894043
white formal blazer for men,Vector Search (LLM),0.848327910900116
white formal blazer for men,Baseline,0.8265887856483459
pink cotton jeans unisex,Vector Search (LLM),0.8151080071926117
pink cotton jeans unisex,Baseline,0.8084790110588074
pink cotton dress unisex,Vector Search (LLM),0.8126521646976471
pink cotton dress unisex,Baseline,0.8091452538967132
blue casual suit for women,Vector Search (LLM),0.6997118532657624
blue casual suit for women,Baseline,0.7374069809913635
green oversized skirt for kids,Vector Search (LLM),0.7656336545944213
green oversized skirt for kids,Baseline,0.7841988325119018
gray casual boots for men,Vector Search (LLM),0.8147992491722107
gray casual boots for men,Baseline,0.7694538831710815
blue wool t-shirt for kids,Vector Search (LLM),0.8892001926898956
blue wool t-shirt for kids,Baseline,0.8561562538146973
black sportswear scarf for women,Vector Search (LLM),0.8915247976779938
black sportswear scarf for women,Baseline,0.8476462543010712
yellow wool jacket for men,Vector Search (LLM),0.7924433171749115
yellow wool jacket for men,Baseline,0.7932187974452972
orange leather hoodie for men,Vector Search (LLM),0.7801681578159332
orange leather hoodie for men,Baseline,0.802526307106018
black slim fit t-shirt for women,Vector Search (LLM),0.870133352279663
black slim fit t-shirt for women,Baseline,0.8596937477588653
green formal hoodie for women,Vector Search (LLM),0.8342993855476379
green formal hoodie for women,Baseline,0.7984004974365234
yellow sportswear boots for women,Vector Search (LLM),0.7288700044155121
yellow sportswear boots for women,Baseline,0.7916987836360931
gray oversized hoodie for men,Vector Search (LLM),0.831169843673706
gray oversized hoodie for men,Baseline,0.8403640031814575
white oversized trousers unisex,Vector Search (LLM),0.8013095319271087
white oversized trousers unisex,Baseline,0.8226173758506775
brown formal blazer for men,Vector Search (LLM),0.763707971572876
brown formal blazer for men,Baseline,0.7484340846538544
orange denim jacket unisex,Vector Search (LLM),0.7644254624843597
orange denim jacket unisex,Baseline,0.786706167459488
beige denim hoodie for women,Vector Search (LLM),0.822052663564682
beige denim hoodie for women,Baseline,0.8180166244506836
blue casual boots for women,Vector Search (LLM),0.7511123180389404
blue casual boots for women,Baseline,0.7477816820144654
brown cotton dress unisex,Vector Search (LLM),0.771052461862564
brown cotton dress unisex,Baseline,0.7153508722782135
blue denim boots for men,Vector Search (LLM),0.7058879733085632
blue denim boots for men,Baseline,0.7887026309967041
black casual blazer for men,Vector Search (LLM),0.893893939256668
black casual blazer for men,Baseline,0.8430019617080688
white wool jeans unisex,Vector Search (LLM),0.8050612807273865
white wool jeans unisex,Baseline,0.8144861221313476
gray formal hoodie unisex,Vector Search (LLM),0.8240814745426178
gray formal hoodie unisex,Baseline,0.807079941034317
black cotton coat for men,Vector Search (LLM),0.7829004406929017
black cotton coat for men,Baseline,0.8353901445865631
brown linen sweater unisex,Vector Search (LLM),0.7781704068183899
brown linen sweater unisex,Baseline,0.7600292325019836
green oversized sneakers unisex,Vector Search (LLM),0.8004460036754608
green oversized sneakers unisex,Baseline,0.7605516910552979
red wool dress for women,Vector Search (LLM),0.7712014675140381
red wool dress for women,Baseline,0.7894766688346863
black sportswear sneakers for men,Vector Search (LLM),0.8096299529075622
black sportswear sneakers for men,Baseline,0.8561246752738952
beige leather jacket unisex,Vector Search (LLM),0.8263612449169159
beige leather jacket unisex,Baseline,0.8169334590435028
pink casual jeans for men,Vector Search (LLM),0.8321702063083649
pink casual jeans for men,Baseline,0.7753603279590606
pink denim blazer for women,Vector Search (LLM),0.7718812584877014
pink denim blazer for women,Baseline,0.846021044254303
white sportswear t-shirt for women,Vector Search (LLM),0.9289676427841187
white sportswear t-shirt for women,Baseline,0.8581682801246643
brown denim sweater for women,Vector Search (LLM),0.7930764079093933
brown denim sweater for women,Baseline,0.7610964238643646
yellow sportswear jacket for men,Vector Search (LLM),0.7617497265338897
yellow sportswear jacket for men,Baseline,0.8275452494621277
brown sportswear shoes for kids,Vector Search (LLM),0.7936449348926544
brown sportswear shoes for kids,Baseline,0.7660491704940796
green wool skirt for kids,Vector Search (LLM),0.7912908792495728
green wool skirt for kids,Baseline,0.7781682968139648
blue linen coat for women,Vector Search (LLM),0.7810628592967988
blue linen coat for women,Baseline,0.7691639423370361
orange linen boots for kids,Vector Search (LLM),0.7322284698486328
orange linen boots for kids,Baseline,0.7524614691734314
white leather boots for men,Vector Search (LLM),0.7665189325809478
white leather boots for men,Baseline,0.7999681949615478
white casual hoodie for kids,Vector Search (LLM),0.8465175628662109
white casual hoodie for kids,Baseline,0.8840963840484619
red slim fit sweater for men,Vector Search (LLM),0.8627662837505341
red slim fit sweater for men,Baseline,0.8260996222496033
blue slim fit dress for women,Vector Search (LLM),0.7621102035045624
blue slim fit dress for women,Baseline,0.7806632041931152
gray casual sneakers for kids,Vector Search (LLM),0.8166345000267029
gray casual sneakers for kids,Baseline,0.8105149865150452
yellow casual jacket for kids,Vector Search (LLM),0.7560844480991363
yellow casual jacket for kids,Baseline,0.8315049946308136
orange denim sweater for women,Vector Search (LLM),0.788442724943161
orange denim sweater for women,Baseline,0.8265487611293793
green denim sweater for men,Vector Search (LLM),0.7633496582508087
green denim sweater for men,Baseline,0.7972926318645477
pink cotton dress for kids,Vector Search (LLM),0.8352567911148071
pink cotton dress for kids,Baseline,0.8062768042087555
yellow wool sneakers for kids,Vector Search (LLM),0.7387970209121704
yellow wool sneakers for kids,Baseline,0.7845738410949707
blue linen scarf unisex,Vector Search (LLM),0.7945346772670746
blue linen scarf unisex,Baseline,0.806903213262558
green leather t-shirt unisex,Vector Search (LLM),0.8087518215179443
green leather t-shirt unisex,Baseline,0.7766092181205749
green leather jacket for kids,Vector Search (LLM),0.7257881760597229
green leather jacket for kids,Baseline,0.7664256930351258
red linen jeans unisex,Vector Search (LLM),0.8010209023952484
red linen jeans unisex,Baseline,0.786799556016922
pink oversized scarf for men,Vector Search (LLM),0.8676752328872681
pink oversized scarf for men,Baseline,0.8429843544960022
white denim sweater for women,Vector Search (LLM),0.825915390253067
white denim sweater for women,Baseline,0.8464996039867401
pink leather blazer for kids,Vector Search (LLM),0.8126022577285766
pink leather blazer for kids,Baseline,0.7744778633117676
yellow casual jeans unisex,Vector Search (LLM),0.7950682461261749
yellow casual jeans unisex,Baseline,0.8282623171806336
red leather dress for kids,Vector Search (LLM),0.664980286359787
red leather dress for kids,Baseline,0.7496246278285981
black slim fit hoodie for women,Vector Search (LLM),0.8664049983024598
black slim fit hoodie for women,Baseline,0.8303289175033569
orange denim trousers unisex,Vector Search (LLM),0.8206659734249115
orange denim trousers unisex,Baseline,0.8132340967655182
yellow cotton sweater for women,Vector Search (LLM),0.8455278396606445
yellow cotton sweater for women,Baseline,0.8413373470306397
red cotton sweater unisex,Vector Search (LLM),0.8966922521591186
red cotton sweater unisex,Baseline,0.86631560921669
black cotton sneakers for kids,Vector Search (LLM),0.8425386309623718
black cotton sneakers for kids,Baseline,0.8337851464748383
brown wool dress for women,Vector Search (LLM),0.7314652621746063
brown wool dress for women,Baseline,0.7128199815750123
white oversized blazer for men,Vector Search (LLM),0.8621752440929413
white oversized blazer for men,Baseline,0.8252463936805725
gray wool hoodie unisex,Vector Search (LLM),0.8402447819709777
gray wool hoodie unisex,Baseline,0.8318574607372284
beige linen blazer for women,Vector Search (LLM),0.8699286699295044
beige linen blazer for women,Baseline,0.8627273261547088
blue leather skirt for women,Vector Search (LLM),0.7301423490047455
blue leather skirt for women,Baseline,0.7756564855575562
brown slim fit dress for men,Vector Search (LLM),0.7173177599906921
brown slim fit dress for men,Baseline,0.694722032546997
green slim fit skirt unisex,Vector Search (LLM),0.7874359965324402
green slim fit skirt unisex,Baseline,0.8126890242099762
orange casual trousers for men,Vector Search (LLM),0.8676311016082764
orange casual trousers for men,Baseline,0.7902915716171265
white linen jeans for kids,Vector Search (LLM),0.863845807313919
white linen jeans for kids,Baseline,0.8363953113555909
black denim shoes unisex,Vector Search (LLM),0.7926892817020417
black denim shoes unisex,Baseline,0.7831791043281555
