query,system_id,system_name,nDCG,MAP,MRR
orange denim jacket for kids,vector_search,Vector Search (LLM),0.9544939661840416,0.8041666666666667,1.0
orange denim jacket for kids,baseline,Baseline,0.9454257684703782,0.7470238095238095,1.0
blue wool jeans for men,vector_search,Vector Search (LLM),0.5883300173403988,0.4303571428571429,0.25
blue wool jeans for men,baseline,Baseline,0.9182162519778516,0.7961904761904762,1.0
orange casual t-shirt unisex,vector_search,Vector Search (LLM),0.9319083552451186,0.8083333333333333,1.0
orange casual t-shirt unisex,baseline,Baseline,0.9922912215101783,1.0,1.0
black leather t-shirt for women,vector_search,Vector Search (LLM),0.0,0.0,0.0
black leather t-shirt for women,baseline,Baseline,0.97144755653092,1.0,1.0
blue casual shoes for men,vector_search,Vector Search (LLM),0.8302453500080558,0.8055555555555555,1.0
blue casual shoes for men,baseline,Baseline,0.8558112355261801,1.0,1.0
pink wool sneakers unisex,vector_search,Vector Search (LLM),0.47338383806335005,0.33134920634920634,0.3333333333333333
pink wool sneakers unisex,baseline,Baseline,0.9556870922706553,1.0,1.0
blue formal shoes for kids,vector_search,Vector Search (LLM),0.7928654229965442,0.5873015873015873,1.0
blue formal shoes for kids,baseline,Baseline,1.0,0.0,0.0
black cotton sneakers unisex,vector_search,Vector Search (LLM),0.8984509657502545,0.7683333333333333,1.0
black cotton sneakers unisex,baseline,Baseline,0.9289752640401522,1.0,1.0
beige linen jeans for women,vector_search,Vector Search (LLM),0.9438661545147248,0.8541666666666666,1.0
beige linen jeans for women,baseline,Baseline,0.9936842654610014,1.0,1.0
beige denim t-shirt unisex,vector_search,Vector Search (LLM),0.8687944386435991,0.6726190476190477,1.0
beige denim t-shirt unisex,baseline,Baseline,0.9729044350265157,0.975,1.0
white slim fit blazer for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
white slim fit blazer for kids,baseline,Baseline,0.9724419320497084,0.9478458049886622,1.0
yellow linen suit for men,vector_search,Vector Search (LLM),0.8098193383597482,0.5,0.5
yellow linen suit for men,baseline,Baseline,0.9065280314885753,0.5,0.5
gray casual t-shirt unisex,vector_search,Vector Search (LLM),0.42495990177520937,0.2157407407407407,0.125
gray casual t-shirt unisex,baseline,Baseline,0.9961581648476711,1.0,1.0
white casual dress for kids,vector_search,Vector Search (LLM),0.0,0.0,0.0
white casual dress for kids,baseline,Baseline,0.9020607197375925,1.0,1.0
yellow wool sneakers for men,vector_search,Vector Search (LLM),0.9794405227639228,0.95,1.0
yellow wool sneakers for men,baseline,Baseline,1.0,1.0,1.0
black wool suit for kids,vector_search,Vector Search (LLM),0.8655630789350668,0.7152777777777777,1.0
black wool suit for kids,baseline,Baseline,0.7328286204777911,0.6388888888888888,0.5
white wool blazer for men,vector_search,Vector Search (LLM),0.609616332211141,0.41666666666666663,0.5
white wool blazer for men,baseline,Baseline,1.0,1.0,1.0
brown linen boots for kids,vector_search,Vector Search (LLM),0.5993138969864685,0.40208333333333335,0.3333333333333333
brown linen boots for kids,baseline,Baseline,0.9920466006454153,1.0,1.0
red slim fit trousers for women,vector_search,Vector Search (LLM),0.7125508702205822,0.5285714285714286,1.0
red slim fit trousers for women,baseline,Baseline,0.9851766730264648,1.0,1.0
orange linen sneakers for men,vector_search,Vector Search (LLM),0.9911205770005563,0.0,0.0
orange linen sneakers for men,baseline,Baseline,0.9878316351280036,0.0,0.0
yellow cotton scarf for women,vector_search,Vector Search (LLM),0.7681887187668569,0.6592857142857143,1.0
yellow cotton scarf for women,baseline,Baseline,0.9874723956324001,0.9821428571428571,1.0
